"cutscene.cellien.serval.save.0"		"* Bu ses!"
"cutscene.cellien.serval.save.1"		"* Myamyamyamya~!"
"cutscene.cellien.serval.save.2"		"* Eee... meraklanma!&* Seni güvenli bir yere&  götüreceğim!"
"cutscene.cellien.serval.save.3"		"* İşte!"

"cutscene.serval.greet.0"			"* Ah, uyandığına sevimdim!"
"cutscene.serval.greet.1"			"* Seni ilk gördüğümde beni&  gerçekten endişelendirdin."
"cutscene.serval.greet.2"			"* O yaratık tarafından&  incitilmen, saatlerce&  felç kalman da dahil..."
"cutscene.serval.greet.3"			"* Tüm bunlardan sonra&  umarım seni sağlığına&  kavuşturabilmişimdir."
"cutscene.serval.greet.4"			"* Ah, senin iyi olman&  bana mucize gibi&  geliyor!"
"cutscene.serval.greet.5"			"* Ama gerçek soru şu ki;&  hangi türdensin?"
"cutscene.serval.greet.6"			"* Senin gibi bir ARKADAŞ&  görmedim, hepsi bu&  kadar!"
"cutscene.serval.greet.7"			"* İşte bu ilginç.{w}&* Türünü bilmeyen bir&  ARKADAŞ mı?"
"cutscene.serval.greet.8"			"* Ama şanslısın!&* JAPARİ KÜTÜPHANESİ sadece&  birkaç kilometre ileride!"
"cutscene.serval.greet.9"			"* Ve... senin ismin?"
"cutscene.serval.greet.10"			"* Kaban-chan!{w}&* Kulağa hoş geldi mi?"
"cutscene.serval.greet.11"			"* Taşıdığın çantandan&  isimlendirdim bunu."
"cutscene.serval.greet.12"			"* Belki hangi tür olduğunun&  bir ipucudur bu?"
"cutscene.serval.greet.13"			"* Neden bekliyoruz!&* Haydi gidelim!"

"cutscene.serval.new_friend.0"			"* Şuna bak!"
"cutscene.serval.new_friend.1"			"* Oradaki Zebra-chan!&* Diğer herkes gibi ARKADAŞ&  türünden biridir o."
"cutscene.serval.new_friend.2"			"* Yalnız onu korkutmamaya&  özen göster çünkü o&  biraz utangaç."
"cutscene.serval.new_friend.3"			"* Ama endişelenme ki&  buradaki bütün ARKADAŞLAR&  birbiriyle dosttur."
"cutscene.serval.new_friend.4"			"* Neden onunla biraz&  konuşmuyorsun?"
"cutscene.serval.new_friend.5"			"* Yani, onun sana karşı&  olan utangaçlığını az&  da olsa giderebilirsin!"

"cutscene.serval.post_convo.0"			"* Güzel bir konuşma&  geçirdin, aferin!"
"cutscene.serval.post_convo.1"			"* Tabii ki seni kütüphaneye&  götürme konusunda..."
"cutscene.serval.post_convo.2"			"* Bence görevimize dönsek&  iyi olur."
"cutscene.serval.post_convo.3"			"* Yani, evet!&* Haydi gidelim!"

"cutscene.serval.mountain.0"			"* Güzel bir perspektif,&  öyle değil mi?"
"cutscene.serval.mountain.1"			"* Duyduğuma göre o dağda&  her on yılda bir \"SANDSTAR\"&  üretiliyormuş."
"cutscene.serval.mountain.2"			"* Çok ilginç bir bilgi&  olduğunu söyleyebilirim."
"cutscene.serval.mountain.3"			"* Belki... oradan&  doğmuşsundur."
"cutscene.serval.mountain.4"			"* CELLIEN'lar hakkında&  endişelenmeye başladım&  şimdiden."

"cutscene.savannah.lake.0"			"* Su o kadar güzel gözüküyor ki&  biraz içmeden geçemem."
"cutscene.savannah.lake.1"			"* Görüyorum ki benim mülkümü&  zarar ettin?"
"cutscene.savannah.lake.2"			"* Senin gibilerine ne olduğunu&  biliyor musun?"
"cutscene.savannah.lake.3"			"* Hepsi tek tek ölümü tattı."
"cutscene.savannah.lake.4"			"* Hippo! &* Dur."
"cutscene.savannah.lake.5"			"* KABAN'a böyle şeyler&  olmasına izin veremem!"
"cutscene.savannah.lake.6"			"* Ooo!{w}&* Yoldaşın var bakıyorum!"
"cutscene.savannah.lake.7"			"* ..."
"cutscene.savannah.lake.8"			"* Özür dilerim!{w}&* Çok mu sinir bozucuydum?"
"cutscene.savannah.lake.9"			"* Pek sayılmaz ama sinir&  bozucu olmadığın anlamına&  gelmez."
"cutscene.savannah.lake.10"			"* Buna sevindim!"
"cutscene.savannah.lake.11"			"* Neyse, sana KABAN'a&  niye travmalar yaşattığını&  öğrenmek istiyorum."
"cutscene.savannah.lake.12"			"* Bu küçük yaratıklar beni&  rahatsız ediyordu, bu&  yüzden biraz sinirliydim."
"cutscene.savannah.lake.13"			"* Yalnız, o geçiti engelleyen&  CELLIEN'a dikkat edin."
"cutscene.savannah.lake.14"			"* Zaten onu alt etmek için&  üçüncül bir kuvvete&  ihtiyacınız var!"
"cutscene.savannah.lake.15"			"* O zaman niye kendin&  yapmıyorsun?"
"cutscene.savannah.lake.16"			"* Yapacağım işler var."
"cutscene.savannah.lake.17"			"* ..."
"cutscene.savannah.lake.18"			"* Neyse, bizim de&  yapacağımız işler var.!"
"cutscene.savannah.lake.19"			"* O \"yoldaşının\" yardımına&  ihtiyacı yok mudur sence?"
"cutscene.savannah.lake.20"			"* Hippo, lütfen."
"cutscene.savannah.lake.21"			"* Görüyorum ki Japari Park'ının&  kurallarını da unutmuşsun."
"cutscene.savannah.lake.22"			"*{voice -1} ............"
"cutscene.savannah.lake.23"			"* O s-senin düşüdüğünden&  daha iyi!"
