"cutscene.cellien.serval.save.0"		"* T-That voice!"
"cutscene.cellien.serval.save.1"		"* Myamyamyamya~!"
"cutscene.cellien.serval.save.2"		"* Uh... Don't worry!&* I'm going to take you&  someplace!"
"cutscene.cellien.serval.save.3"		"* Alright, there!"

"cutscene.serval.greet.0"			"* Oh dear, I'm glad you're&  awake!"
"cutscene.serval.greet.1"			"* You made me really&  worried the first&  time I saw you!"
"cutscene.serval.greet.2"			"* Seeing you severely&  hurt by that little&  creature, left numb&  for hours..."
"cutscene.serval.greet.3"			"* At this point, I hope&  you're feeling recovered,&  honestly."
"cutscene.serval.greet.4"			"* Ah, it just feels like&  a miracle knowing&  you're alright!"
"cutscene.serval.greet.5"			"* But the real question&  is, do you know what&  type of species you are?"
"cutscene.serval.greet.6"			"* It's just I haven't&  seen a \"FRIEND\" like&  you, that's all!"
"cutscene.serval.greet.7"			"* Well that's weird.{w}&* A FRIEND who doesn't&  know their species?"
"cutscene.serval.greet.8"			"* Tell you what! JAPARI&  LIBRARY exists and I'm&  going to guide you to&  the gate."
"cutscene.serval.greet.9"			"* And... about your&  name, also?"
"cutscene.serval.greet.10"			"* Kaban-chan!{w}&* Does it sound good?"
"cutscene.serval.greet.11"			"* I named it after the&  bag you were carrying."
"cutscene.serval.greet.12"			"* That could be a clue...&  of your species,&  perhaps?"
"cutscene.serval.greet.13"			"* Why are we waiting here?&  Let's go!"

"cutscene.serval.new_friend.0"			"* Look at that!"
"cutscene.serval.new_friend.1"			"* Over that spot is&  Zebra-chan, a FRIEND&  like everyone here."
"cutscene.serval.new_friend.2"			"* Since she's a bit&  shy, I’d advise you&  not to frighten her."
"cutscene.serval.new_friend.3"			"* Don’t worry, none&  of the FRIENDS are&  harmful around here!"
"cutscene.serval.new_friend.4"			"* Why don't you have&  a little conversation&  with her?"
"cutscene.serval.new_friend.5"			"* I mean, I'm confident&  she'll loosen her&  shyness towards you!"

"cutscene.serval.post_convo.0"			"* You had quite a decent&  conversation there!"
"cutscene.serval.post_convo.1"			"* Thinking about how I had&  to get you to the&  library..."
"cutscene.serval.post_convo.2"			"* I think it'd better to&  move on to our mission."
"cutscene.serval.post_convo.3"			"* So, yeah!&* Let's go!"

"cutscene.serval.mountain.0"			"* A nice perspective from&  here, don't you think?"
"cutscene.serval.mountain.1"			"* I've heard this mountain&  would produce \"SANDSTAR\"&  each decade."
"cutscene.serval.mountain.2"			"* It's a pretty weird fact,&  I'd say."
"cutscene.serval.mountain.3"			"* You could happen to be&  born from there...&  perhaps?"
"cutscene.serval.mountain.4"			"* I'm... beginning to&  worry about the&  CELLIENS."

"cutscene.savannah.lake.0"			"* The water looks so delightful I&  cannot tolerate taking a sip."
"cutscene.savannah.lake.1"			"* Threathening the safety of&  my property, I see?"
