"menu.begin"						"New Game"
"menu.settings"						"Extras"
"menu.continue"						"Continue"
"menu.reset"						"Reset"
"menu.confirm"						"Are you sure?"
"menu.naming.title"					"YOUR OWN NAME."
"menu.naming.quit"					"Quit"
"menu.copy"							"Copy"
"menu.erase"						"Erase"
"menu.naming.backspace"					"Back"
"menu.naming.end"						"End"
"menu.file.copy"						"Select a file to copy from."
"menu.file.erase"						"Select a file to erase."
"menu.file.choose"					"Please select a file."

"menu.room.savannah.lake"				"Savannah - The Lake"
"menu.room.savannah.bridge"				"Savannah - The Bridge"

"gameover.try_again"					"Try Again"
"gameover.give_up"					"Give Up"
