"menu.begin"						"Yeni Dosya"
"menu.settings"						"Ekstra"
"menu.continue"						"Devam Et"
"menu.reset"						"Sıfırla"
"menu.confirm"						"Emin misin?"
"menu.naming.title"					"KENDİ İSMİN."
"menu.naming.quit"					"Çık"
"menu.copy"							"Kopya"
"menu.erase"						"Yok Et"
"menu.naming.backspace"					"Geri"
"menu.naming.end"						"Bitir"
"menu.file.copy"						"Kopyalanacak dosyayı seç."
"menu.file.erase"						"Silinecek dosyayı seç."
"menu.file.choose"					"Lütfen bir dosya seç."

"menu.room.savannah.lake"				"Savan - Gölet"
"menu.room.savannah.bridge"				"Savan - Geçit"

"gameover.try_again"					"Yeniden Dene"
"gameover.give_up"					"Pes Et"
