"credits.header.director"		"-Director del Proyecto-"
"credits.header.lead_programmer"	"-Programador Principal-"
"credits.header.lead_spriter"		"-Spriter Principal-"
"credits.header.lead_musician"	"-Músico Principal-"
"credits.header.lead_writer"		"-Escritor Principal-"
"credits.header.programmers"		"-Programadores-"
"credits.header.spriters"		"-Spriters-"
"credits.header.musicians"		"-Músicos-"
"credits.header.writers"		"-Escritores-"
"credits.header.contributors"		"-Contribuidores-"
"credits.header.retired_team"		"-Equipo Retirado-"
"credits.header.special_thanks"	"-Agradecimientos Especiales-"
"credits.header.in_memory_of"		"-En Memoria A-"

"credits.japaritale_by"			"JAPARITALE by shobotan04#Versión Jugable by Animeliqite"
"credits.thank_you"			"Gracias por jugar el juego.#Estén atentos al nuevo contenido que#aparecerá a lo largo del desarrollo.###"
