"cutscene.plains.chameleon_talk.0"						"* ¡Alce! ¡Alce!"
"cutscene.plains.chameleon_talk.1"						"* Los he encontrado, pero&  ¿es todo lo que&  necesitamos?"
"cutscene.plains.chameleon_talk.2"						"* Escuché su sonido, pero&  estoy sola..."
"cutscene.plains.chameleon_talk.3"						"* Después de todo...{w}&* No, yo entiendo."
"cutscene.plains.chameleon_talk.4"						"* Te dejo la parte de lucha,&  entonces."

"cutscene.plains.porcupine_talk.0"						"* Oye...{w} Tengo algo que&  quiero preguntarte."
"cutscene.plains.porcupine_talk.1"						"* No, no estoy aquí para&  pelear contigo."
"cutscene.plains.porcupine_talk.2"						"* Soy una {color_text `yellow`}Puercoespín&  de Crin Africana{color_text `white`}."
"cutscene.plains.porcupine_talk.3"						"* ¡Ow, lo siento! ¿Estos&  cultivos bloquean&  tu vista?"
"cutscene.plains.porcupine_talk.4"						"* {color_text `yellow`}La Camaleón Pantera{color_text `white`}&  te ha visto, ¿no?"
"cutscene.plains.porcupine_talk.5"						"* ¿Qué diablos hiciste?"
"cutscene.plains.porcupine_talk.6"						"* ¿Puedes seguirme...?"
"cutscene.plains.porcupine_talk.7"						"* ¡Espere por favor!"
"cutscene.plains.porcupine_talk.8"						"* Soy... un poco fan de&  {color_text `red`}esas dos{color_text `white`}."
"cutscene.plains.porcupine_talk.9"						"* Pero por favor...&  quédate conmigo&  para siempre."
"cutscene.plains.porcupine_talk.10"						"* Solo soy... tan tímida&  siempre haciendo&  pucheros así..."
"cutscene.plains.porcupine_talk.11"						"* Todo el mundo se&  ha estado alejando&  más que acercárse."
"cutscene.plains.porcupine_talk.12"						"* ¡Pero pareces estar&  bien!"
"cutscene.plains.porcupine_talk.13"						"* ¡Así que sígueme!{w}&* ¡Vamos a algún lugar&  a refugiarnos!"

"cutscene.plains.porcupine_shrine.0"					"* ¡Está justo ahí!&* ¡Vamos al centro lo más&  rápido que podamos!"
"cutscene.plains.porcupine_shrine.1"					"* Ow, ¿Tienes frío?"
"cutscene.plains.porcupine_shrine.2"					"* Después de todo,&  se trata de..."
"cutscene.plains.porcupine_shrine.3"					"* Bueno, este es el único&  lugar por aquí que nos&  protege de la lluvia."
"cutscene.plains.porcupine_shrine.4"					"* Y... también está muy&  oscuro.{w}&* ¡Sigamos juntas!"

"cutscene.plains.porcupine_shrine.try_to_escape.0"			"* ¡¡E-espera!! ¿A dónde&  vas?"
"cutscene.plains.porcupine_shrine.try_to_escape.1"			"* ¡Afuera está lloviendo!&* ¡No nos gustaría&  resfriarnos!"

"cutscene.plains.porcupine_shrine.take_lighter.0"			"* Tomé el encendedor."

"cutscene.plains.porcupine_shrine.after_lighter.0"			"* Oye, ¿por qué&  de repente es&  brillante?"
"cutscene.plains.porcupine_shrine.after_lighter.1"			"* ¿Es un {color_text `yellow`}encendedor{color_text `white`}&  lo que llevas?"
"cutscene.plains.porcupine_shrine.after_lighter.2"			"* Pero bueno, ¡al menos&  podemos ver lo que&  tenemos delante!{w} ¡Vamos!"

"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.0.0"	"* ¿No sabes que mi&  ropa está toda mojada?"
"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.0.1"	"* No puedo salir así,&  ya sabes..."

"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.1.0"	"* Por favor, no&  seas raro..."
"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.1.1"	"* Estamos a solo unos&  pasos de alcanzar al&  Camaleón."

"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.2.0"	"* ¿Tienes... miedo a la&  oscuridad...?"
"cutscene.plains.porcupine_shrine.after_lighter.try_to_escape.2.1"	"* ¡Y-yo igual! ¡No puedo&  estar sola así...!"

"cutscene.plains.porcupine_shrine.talk.0"					"* ¿Puedo hablar&  contigo un minuto?"
"cutscene.plains.porcupine_shrine.talk.1"					"* No tienes miedo ni&  nada, ¿verdad?"

