"cutscene.zebra.greet.0"			"* Oh, hola..."
"cutscene.zebra.greet.1"			"* Ah, ¿así que deseas&  hablar un poco conmigo?"
"cutscene.zebra.greet.2"			"* Bueno, ¡segura!"

"cutscene.zebra.conversation.0"			"Yo... no se por&donde empezar,&pero..."
"cutscene.zebra.conversation.1"			"Ah, los temas&habituales son..."
"cutscene.zebra.conversation.2"			"De todos modos,&eh, ¿como estas?"
"cutscene.zebra.conversation.3"			"Bueno... me alegro&de que estes&bien..."
"cutscene.zebra.conversation.4"			"¡Después de todo, el&parque es un buen&lugar para vivir!"
"cutscene.zebra.conversation.5"			"Y el unico lugar para&vivir en..."
"cutscene.zebra.conversation.6"			"Aunque se puso un poco&desordenado durante el&último brote de CELLIEN..."
"cutscene.zebra.conversation.7"			"Todavía puedo&mantener la comodidad&de mi bienestar~"
"cutscene.zebra.conversation.8"			"No es por perder&las ilusiones&ni nada por el estilo,&pero..."
"cutscene.zebra.conversation.9"			"La autodefensa es&algo que todos&tenemos que aprender."

"cutscene.zebra.conversation.3.alt"		"Ow... entonces espero&que lo mejor te encuentre..."
"cutscene.zebra.conversation.4.alt"		"¡Y que el ambiente&del Parque te anime!"
"cutscene.zebra.conversation.5.alt"		"Después de todo,&es probablemente el&único lugar que conoceremos..."
"cutscene.zebra.conversation.6.alt"		"¡Eso, sinceramente,&no me ha importado, supongo!"
"cutscene.zebra.conversation.7.alt"		"Porque CELLIEN brotara&o no brotara..."
"cutscene.zebra.conversation.8.alt"		"Todavía puedo mantener&la comodidad de mi&bienestar~"
"cutscene.zebra.conversation.9.alt"		"Y mientras tú quieras&que lo haga, estaré&deseando lo mismo."

"cutscene.zebra.conversation.1.alt"		"Ah, asi que sobre&este mundo es..."
"cutscene.zebra.conversation.2.alt"		"¿Alguien te ha contado&sobre el reciente&brote de CELLIEN?"

"cutscene.zebra.conversation.3.alt.alt"		"Yo... supongo que&deberíamos hablar de&otra cosa entonces..."
"cutscene.zebra.conversation.4.alt.alt"		"¿Sabías que hay mundos&enteros detrás de&este lugar?"
"cutscene.zebra.conversation.5.alt.alt"		"¿Y cómo este es el único&que probablemente&conoceremos...?"
"cutscene.zebra.conversation.6.alt.alt"		"Alguien ha estado&buscando a alguien&como tú..."
"cutscene.zebra.conversation.7.alt.alt"		"Me explicó que le habían&quitado el sombrero.{w}&Y aunque ella..."
"cutscene.zebra.conversation.8.alt.alt"		"Parece tener buenas&intenciones, me imagino,&y alberga más&malentendidos..."
"cutscene.zebra.conversation.9.alt.alt"		"Todavía tienes que&mantenerte a salvo, ¿sabes?&Solo estaba proponiendo."
"cutscene.zebra.conversation.10.alt.alt"		"¡Después de todo,&estaré deseando tu&seguridad todo el&tiempo que quieras!"

"cutscene.zebra.conversation.3.alt.alt.alt"	"Ow… estos tiempos&requieren diligencia,&supongo..."
"cutscene.zebra.conversation.4.alt.alt.alt"	"Aunque la mayoría son&propensos a la derrota...&He oído historias."
"cutscene.zebra.conversation.5.alt.alt.alt"	"Historias de los más&fuertes y cómo es ser&absorbido por completo."
"cutscene.zebra.conversation.6.alt.alt.alt"	"De los deseos y miedos&de tu mente siendo&reproducidos en ti."
"cutscene.zebra.conversation.7.alt.alt.alt"	"Y cómo aunque te las&arreglas para escapar..."
"cutscene.zebra.conversation.8.alt.alt.alt"	"Solo ser golpeado puede&ser preocupante por sí solo."
"cutscene.zebra.conversation.9.alt.alt.alt"	"Ok, Tengo que&calmarme."
"cutscene.zebra.conversation.10.alt.alt.alt"	"¡Después de todo, estaré&deseando tu seguridad&todo el tiempo que quieras!"

"cutscene.zebra.conversation.end.0"		"Bueno, ¡fue una&gran charla!"
"cutscene.zebra.conversation.end.1"		"Ciertamente tienes&el interés de la&amistad."
"cutscene.zebra.conversation.end.2"		"¡Gracias!&Gracias por aflojar&mi timidez, creo."

"cutscene.zebra.conversation.answers.0"	"Ando bien"
"cutscene.zebra.conversation.answers.1"	"Ha sido confuso"

"cutscene.zebra.conversation.answers.2"	"Temas habituales"
"cutscene.zebra.conversation.answers.3"	"Este&                    mundo"

"cutscene.zebra.conversation.start"		"QUE INICIE LA{w}& CONVERSACIÓN..."
"cutscene.zebra.conversation.shyness_meter"	"MEDIDOR DE TIMIDEZ"
