"menu.begin"						"Nuevo Juego"
"menu.settings"						"Ajustes"
"menu.continue"						"Continuar"
"menu.reset"						"Reiniciar"
"menu.confirm"						"¿Estas seguro?"
"menu.naming.title"					"TU PROPIO NOMBRE."
"menu.naming.quit"					"Salir"
"menu.copy"							"Copiar"
"menu.erase"						"Borrar"
"menu.naming.backspace"					"Atrás"
"menu.naming.end"						"Hecho"
"menu.file.copy"						"Seleccionar un archivo para copiarlo."
"menu.file.erase"						"Seleccionar un archivo para borrarlo."
"menu.file.choose"					"Por favor selecciona un archivo."

"menu.room.savannah.zebra"				"Sabana - Lugar de Zebra-Chan"
"menu.room.savannah.lake"				"Sabana - El Lago"
"menu.room.savannah.bridge"				"Sabana - El Puente"
"menu.room.jungle.puzzle"				"Área Jungla - Acertijo"
"menu.room.jungle.end"					"Área Jungla - Atajo"

"gameover.try_again"					"Intentar de\n     nuevo"
"gameover.give_up"					"Rendirse"
